TMDB_ID,SERIES,STATUS,RELEASE_DATE,RUNTIME,OVERVIEW,Vote_Average,Vote_Count,Genres,Keywords,original_name,poster_path,backdrop_path,popularity,original_language,type,number_of_episodes,number_of_seasons,homepage,Cast,Crew,Videos
94617,Grease Rise Of The Pink Ladies,Canceled,2023-04-06,0,"In 1954, a time before rock ‘n’ roll ruled, before the T-Birds were the coolest in the school, four fed-up outcasts dare to have fun on their own terms, sparking a moral panic that will change Rydell High forever.",6.8,49,Drama,musical,Grease: Rise of the Pink Ladies,/dGu8u5F9Cjn9Ij2aMYtGmKHp5m1.jpg,/aWXGFJyhEvI1Y7NWk2A3oriHMfb.jpg,9.6476,en,TV,10,1,https://www.paramountplus.com/shows/grease-rise-of-the-pink-ladies/,"Marisa Davila, Cheyenne Isabel Wells, Ari Notartomaso",,Official UK Trailer
43017,Great Teacher Onizuka,Ended,1999-06-30,24,"About Eikichi Onizuka, a 22-year-old ex-gangster member and a virgin. He has one ambition that no one ever expected from him. His solely life purpose is to become the greatest high school teacher ever.",8.425,219,"Animation, Comedy, Drama","teacher, school, based on manga, shounen, anime",グレート・ティーチャー・オニヅカ,/cgcvNzLUQUjkur8zfhHwcadwzVz.jpg,/sXdKhp54z4qgMsOMoIyTglWsTPn.jpg,12.3488,ja,TV,43,1,,"Wataru Takagi, Junko Noda, Isshin Chiba",,Opening 1 | Driver’s High - L'Arc~en~Ciel [Subtitled]
40351,Green Lantern The Animated Series,Canceled,2011-11-11,0,The Green Lanterns Hal and his partner Kilowog fight against the forces of the Red Lanterns.,7.695,197,"Action & Adventure, Animation, Sci-Fi & Fantasy, Kids","superhero, based on comic, alien, flying man",Green Lantern: The Animated Series,/xJwEpFAoedQ6POM9dD83ijFk5ME.jpg,/6Yqde6ZrDitK5z7wPnpLeRCkgrC.jpg,21.9508,en,TV,26,1,http://www.cartoonnetwork.com/tv_shows/green-lantern/index.html,"Josh Keaton, Kevin Michael Richardson, Jason Spisak",,Green Lantern - The Animated Series -Trailer #1.mp4
136296,Grid,Returning Series,2021-05-27,60,A variety show that explores how each featured celebrity experiences solo travel in different places in South Korea. The show casts a therapeutic and relaxing mood as the celebrity discovers interesting and natural encounters during the travel.,0.0,0,Documentary,"road trip, travel show",잠적,/3tWoyvEZOz4kxo5xH7MO2ebwmhq.jpg,/zodbIN3djQfC8hQ8G44ZQAvgXz8.jpg,1.5359,ko,TV,26,10,https://www.discoverykorea.com/content/program/program_detail.php?po=P&t=&w=%EC%9E%A0%EC%A0%81&idx=85,Yoo Seung-ho,,
39351,Grimm,Ended,2011-10-28,45,"After Portland homicide detective Nick Burkhardt discovers he's descended from an elite line of criminal profilers known as ""Grimms,"" he increasingly finds his responsibilities as a detective at odds with his new responsibilities as a Grimm.",8.268,3351,"Drama, Mystery, Sci-Fi & Fantasy","detective, fairy tale, police, supernatural, creature, police detective, homicide detective, neo-noir, fighting supernatural",Grimm,/iOptnt1QHi6bIHmOq6adnZTV0bU.jpg,/oS3nip9GGsx5A7vWp8A1cazqJlF.jpg,113.7054,en,TV,122,6,http://www.nbc.com/grimm/,"David Giuntoli, Silas Weir Mitchell, Russell Hornsby",,Grimm Season 2 Opening
73550,Gunpowder,Ended,2017-10-21,59,"London, 1605. Robert Catesby, a 33-year old Warwickshire gentleman, devises a plot to blow up Parliament and kill the King.",6.779,195,"War & Politics, Drama","scotland, england, religion, miniseries, period drama, catholic priest, gunpowder plot, 17th century, activist",Gunpowder,/3eHeKVmm08g8LDoXobBioyti7id.jpg,/5PwGtqNQaD8wzhRaDp7nwBpPyNt.jpg,13.8529,en,TV,3,1,http://www.bbc.co.uk/programmes/p05j1bc9,"Kit Harington, Mark Gatiss, Edward Holcroft",,Gunpowder: Trailer - BBC One
2260,H2O Just Add Water,Ended,2006-07-07,24,H2O: Just Add Water revolves around three teenage girls facing everyday teen problems with an added twist: they cope with the burden of growing a giant fin and transforming into mermaids whenever they come in contact with water.,7.806,664,"Drama, Family, Sci-Fi & Fantasy","mermaid, supernatural, teen drama",H2O: Just Add Water,/sPJdMeFEVGim9b8SXeIaUT70MGH.jpg,/waQxGw44tKEsKcLOkAWJsxyz7Bf.jpg,31.3228,en,TV,78,3,http://h2o.zdfe-b2c.de/season3/index.html,"Phoebe Tonkin, Cariba Heine, Indiana Evans",,H2O: Just Add Water Trailer
60863,Haikyuu,Ended,2014-04-06,24,"Inspired by a small-statured pro volleyball player, Shouyou Hinata creates a volleyball team in his last year of middle school. Unfortunately the team is matched up against the ""King of the Court"" Tobio Kageyama's team in their first tournament and inevitably lose. After the crushing defeat, Hinata vows to surpass Kageyama. After entering high school, Hinata joins the volleyball team only to find that Tobio has also joined.",8.6,1413,"Animation, Comedy, Drama","competition, training, volleyball, sports, high school, high school sports, rivalry, slice of life, tournament, bromance, based on manga, high school rivalry, school life, shounen, anime, school club, prodigy, japanese high school, teamwork, team sports, bukatsu",ハイキュー!!,/8WEr48swcqe89Zsy5sdrGCASlIg.jpg,/3mBtXzyOIzh5zJNEgHqIIYTPb6n.jpg,58.488,ja,TV,85,4,https://haikyu.jp,"Ayumu Murase, Kaito Ishikawa",,'Haikyu!! Season 1' is now available on Animax. Watch it on Tata Play Binge!
292318,Happiness,Returning Series,2025-05-30,0,"In a post-COVID world, a mysterious drug called “Next” sparks a terrifying outbreak of madness. As violent deaths rise, detective Prap reveals a chilling link between the chaos and the drug—uncovering a conspiracy far darker than expected.",0.0,0,"Drama, Action & Adventure, Mystery","remake, zombie, zombie apocalypse, survive",Happiness,/srMI72cod1UetnSYzQk9ROt9Vkx.jpg,/7BqI6xPBdHPNQhuH9ohephIr83e.jpg,7.301,th,TV,12,1,,"Patchanan Jiajirachote, Suppapong Udomkaewkanjana, Dom Haetrakul",Rattapong Pinyosopon,[OFFICIAL TRAILER] #HAPPINESSTH | เริ่ม 30 พฤษภาคม นี้ ทาง TrueID
17464,Happy,Ended,1960-06-08,30,"Happy is an American sitcom that aired on NBC. The series stars Ronnie Burns, the adopted son of George Burns and Gracie Allen, which aired from June 8 to September 28, 1960.",5.5,2,Comedy,"california, hotel, baby, sitcom",Happy,/5xYUvPAp6in0KFgiWwHd6TMkU5p.jpg,,1.2035,en,TV,14,2,,"Ronnie Burns, Doris Packer, Burt Metcalfe",,
1126,Happy Tree Friends,Canceled,1999-12-24,4,"This action and adventure comedy is drawn in simple appearance and combines cute forest animals with extreme graphic violence. Each episode revolves around the characters enduring accidental events of bloodshed, pain, dismemberment and/or death.",7.79,617,"Animation, Comedy, Sci-Fi & Fantasy","gore, death, adult animation, nostalgic, shocking",Happy Tree Friends,/2rYqJg1OzaDlc5kiBK4IdgrELMf.jpg,/2FiRbfbmXN2DSHAcuHRtv9QJwnD.jpg,22.2564,en,TV,194,11,http://www.mondomedia.com/shows/happytreefriends/,"Kenn Navarro, Ellen Connell, Aubrey Ankrum","Aubrey Ankrum, Warren Graff, Ken Pontac",Happy Tree Friends  (Trailer)
114477,Harem In The Labyrinth Of Another World,Ended,2022-07-06,24,"High school student Michio Kaga was wandering aimlessly through life and the Internet, when he finds himself transported from a shady website to a fantasy world — reborn as a strong man who can use ""cheat"" powers. He uses his powers to become an adventurer, earn money, and get the right to claim girls that have idol-level beauty to form his very own harem.",7.3,123,"Animation, Action & Adventure, Sci-Fi & Fantasy","based on novel or book, harem, fantasy world, ecchi, shounen, anime, big tits, isekai, adventure",異世界迷宮でハーレムを,/drAnsk5w2PX5x3ooPv7I2xr3ksq.jpg,/6KQTkktt5Ku1skBlY81AodWBewL.jpg,22.6862,ja,TV,12,1,https://isekai-harem.com,"Taku Yashiro, Shiori Mikami, Kenta Miyake",,
210787,Harlan Cobens Shelter,Canceled,2023-08-17,0,"Follow the story of Mickey Bolitar after the death of his father leads him to start a new life in suburban New Jersey. When another new student disappears, Mickey finds himself tangled in a web of secrets. With the help of two new friends, Spoon and Ema, they reveal a dark underground that may hold the answers to decades of disappearances.",7.124,105,"Drama, Mystery, Crime","based on novel or book, lgbt, found family, mystery, thriller",Harlan Coben's Shelter,/rEDJ0L9xY2SblTsPhghUHTa1VnX.jpg,/eDzhof8GnNXIErfkfHsAMmSd4W0.jpg,16.0761,en,TV,8,1,https://www.amazon.com/dp/B0BZYWFBYL,"Jaden Michael, Constance Zimmer, Adrian Greensmith",,Official Trailer
7354,Harpers Island,Ended,2009-04-09,42,"A group of family and friends travels to a secluded island for a destination wedding. They've come to laugh... to love... and, though they don't know it... to die. As the wedding festivities begin, friendships are tested and secrets exposed as a murderer claims victims, one by one, transforming the wedding week of fun and celebration into a terrifying struggle for survival.",7.0,245,"Mystery, Drama","island, serial killer, wedding",Harper's Island,/ihpf4yvi9GWATXj7IApblIHRMP4.jpg,/s1bCQKRcJsJ0cQfYUTfH70PbHMI.jpg,24.8831,en,TV,13,1,,"Elaine Cassidy, Christopher Gorham, Katie Cassidy",,Trailer
43016,Hatfields Mccoys,Ended,2012-05-28,100,"It’s the true American story of a legendary family feud—one that spanned decades and nearly launched a war between Kentucky and West Virginia. The Hatfield-McCoy saga begins with Devil Anse Hatfield and Randall McCoy.. Close friends and comrades until near the end of the Civil War, they return to their neighboring homes—Hatfield in West Virginia, McCoy just across the Tug River border in Kentucky—to increasing tensions, misunderstandings and resentments that soon explode into all-out warfare bet...",7.457,336,"Western, Drama","civil war, kentucky, west virginia, feud, miniseries, american civil war, blood feud, 19th century, grim, tense, intense, harsh, powerful, tragic",Hatfields & McCoys,/ts6NhSkyn1GS3ZXYE7Z2jRUHRnT.jpg,/iKpAp9R2yQbv4OW3U59H38HbSHp.jpg,12.9515,en,TV,3,1,http://www.history.com/shows/hatfields-and-mccoys,"Kevin Costner, Bill Paxton, Matt Barr",,Hatfields and McCoys Theatrical Trailer
208891,Heavenly Delusion,Ended,2023-04-01,24,"In the year 2024, the world has collapsed. Grotesque monsters lurk amongst the ruins of Japan, while remaining people scrape together what they can to survive. Kiruko, an odd-job girl in Nakano, accepts a mysterious woman's dying wish to take a boy named Maru to a place called Heaven. Maru is convinced that there will be a boy there who looks exactly like him.",7.927,220,"Animation, Mystery, Action & Adventure, Sci-Fi & Fantasy","post-apocalyptic future, based on comic, organ transplant, seinen, anime, monsters, adventure",天国大魔境,/74EYbgajUt8X2kxpu62dMR7q8jH.jpg,/p3NtYk9lW1O1gidnfDaIB2NtpNc.jpg,26.8984,ja,TV,13,1,https://tdm-anime.com,"Gen Sato, Sayaka Senbongi, Hibiku Yamamura",,Official Trailer [Subtitled]
92553,Heels,Canceled,2021-08-15,0,"In a close-knit Georgia community, a family-owned wrestling promotion finds two brothers and rivals war over their late father’s legacy. In the ring, somebody must play the good guy and somebody must play their nemesis, the heel. But in the real world, those characters can be hard to live up to (and just as hard to leave behind).",7.434,166,"Drama, Action & Adventure","family business , wrestling, sports, behind the scenes, sibling rivalry, pro wrestling, business rivalry, workplace rival",Heels,/69kPJaCFMXuZfbCrbDaYfMZbtJt.jpg,/cyivBd5idW9rOgbeIVuLyf5yW3E.jpg,11.2917,en,TV,16,2,https://www.starz.com/us/en/series/heels/60760,"Stephen Amell, Alexander Ludwig, Alison Luff",,
71535,Heirs,Ended,2017-04-14,45,"He needs an assistant. She wants her inheritance back.Zheng Hao is a hotshot attorney who specializes in inheritance law. Tang Ning is an heiress who has returned from the United States only to find out that her own family members have forced her to give up her shares of the family business, robbing her of her inheritance.Tang Ning goes to work as Zheng Hao’s assistant, and she realizes that Zheng Hao is exactly the person who can help her regain her rightful place within her family. But can...",5.0,2,Drama,"china, romance",继承人,/xyufasqx3ZaKRWtz1XqJNqEqA69.jpg,/nDt1roLG5W1s19fBBivrBbjauIi.jpg,7.3244,zh,TV,45,1,,"Jiang Xin, Hawick Lau Hau-Wai, Damian Lau",,
292938,Hell Is Other People,Returning Series,2025-01-15,30,"Yuu feels trapped in his hometown. He decides to go to Tokyo and visit his girlfriend, Megumi. Yuu tells her that he wants to live with her in Tokyo, but she is confused by his sudden visit. They end up having an argument. Yuu doesn't have a place to stay in Tokyo, and he ends up staying at a cheap sharehouse named Hakobune. Other people staying there include Yamaguchi, Maru, Yoshiko, Goro, and Kirishima. During his first night there, Yuu sees Yamaguchi and Maru having an argument.The next day...",0.0,0,"Mystery, Sci-Fi & Fantasy, Drama, Crime",survival horror,Tanin wa Jigokuda,/uumVF7swXIHj97dTBNQC9M980Mi.jpg,/hHcG8lltOb53VURKRODLY30ZD1o.jpg,2.2323,ja,TV,6,1,,"Rintaro Hachimura, Shuntaro Yanagi, Masato Hagiwara",,
